CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Author
0.033,0.007,0.128,0.003,0.0,0.156,0.092,0.001,0.003,0.026,0.173,0.0,0.053,0.002,0.043,0.015,0.032,0.002,0.001,0.0,0.04,0.054,0.006,0.016,0.032,0.027,0.032,0.013,0.008,0.0,0.002,ps
0.04095904095904096,0.003996003996003996,0.14485514485514486,0.0,0.0,0.14885114885114886,0.0959040959040959,0.000999000999000999,0.001998001998001998,0.014985014985014986,0.14885114885114886,0.0,0.06293706293706294,0.000999000999000999,0.04095904095904096,0.025974025974025976,0.04495504495504495,0.003996003996003996,0.003996003996003996,0.0,0.025974025974025976,0.025974025974025976,0.008991008991008992,0.015984015984015984,0.026973026973026972,0.030969030969030968,0.05094905094905095,0.01898101898101898,0.008991008991008992,0.0,0.000999000999000999,ps
0.055,0.004,0.139,0.0,0.0,0.154,0.097,0.005,0.003,0.011,0.172,0.0,0.075,0.001,0.031,0.023,0.037,0.002,0.003,0.0,0.032,0.03,0.028,0.007,0.03,0.021,0.014,0.022,0.002,0.0,0.002,ps
0.061938061938061936,0.000999000999000999,0.13286713286713286,0.003996003996003996,0.0,0.14885114885114886,0.1068931068931069,0.000999000999000999,0.001998001998001998,0.014985014985014986,0.14885114885114886,0.0,0.07792207792207792,0.001998001998001998,0.029970029970029972,0.017982017982017984,0.04495504495504495,0.005994005994005994,0.002997002997002997,0.0,0.017982017982017984,0.028971028971028972,0.026973026973026972,0.013986013986013986,0.029970029970029972,0.01998001998001998,0.024975024975024976,0.015984015984015984,0.011988011988011988,0.0,0.004995004995004995,ps
0.055944055944055944,0.006993006993006993,0.14885114885114886,0.001998001998001998,0.0,0.16283716283716285,0.0919080919080919,0.001998001998001998,0.007992007992007992,0.005994005994005994,0.18081918081918083,0.0,0.061938061938061936,0.003996003996003996,0.01898101898101898,0.02097902097902098,0.04495504495504495,0.003996003996003996,0.003996003996003996,0.000999000999000999,0.015984015984015984,0.01898101898101898,0.014985014985014986,0.00999000999000999,0.030969030969030968,0.01898101898101898,0.03996003996003996,0.01898101898101898,0.003996003996003996,0.000999000999000999,0.000999000999000999,ps
0.056,0.006,0.169,0.002,0.0,0.16,0.069,0.001,0.001,0.01,0.193,0.0,0.08,0.0,0.024,0.02,0.026,0.003,0.001,0.0,0.034,0.027,0.006,0.02,0.019,0.015,0.036,0.02,0.002,0.0,0.0,ps
0.072,0.001,0.15,0.0,0.0,0.153,0.073,0.004,0.003,0.012,0.182,0.0,0.091,0.002,0.027,0.012,0.039,0.005,0.003,0.0,0.023,0.025,0.005,0.007,0.014,0.029,0.039,0.023,0.004,0.001,0.001,ps
0.055,0.001,0.132,0.001,0.0,0.157,0.085,0.0,0.001,0.013,0.196,0.0,0.068,0.004,0.033,0.026,0.039,0.003,0.001,0.001,0.019,0.027,0.011,0.009,0.024,0.024,0.043,0.023,0.004,0.0,0.0,ps
0.06293706293706294,0.000999000999000999,0.12287712287712288,0.000999000999000999,0.0,0.15084915084915085,0.1008991008991009,0.000999000999000999,0.001998001998001998,0.017982017982017984,0.17582417582417584,0.0,0.06693306693306693,0.000999000999000999,0.03796203796203796,0.027972027972027972,0.026973026973026972,0.002997002997002997,0.001998001998001998,0.000999000999000999,0.01998001998001998,0.03496503496503497,0.014985014985014986,0.014985014985014986,0.025974025974025976,0.015984015984015984,0.04095904095904096,0.02097902097902098,0.005994005994005994,0.000999000999000999,0.000999000999000999,ps
0.061,0.004,0.139,0.001,0.0,0.163,0.085,0.001,0.004,0.014,0.19,0.0,0.045,0.003,0.029,0.014,0.033,0.003,0.003,0.0,0.027,0.023,0.017,0.014,0.052,0.018,0.034,0.02,0.001,0.0,0.002,ps
